Time Step,Distance (m),Received Power (W)
154,3711.20482381661,4.1380233158250605e-08
155,4563.30112060728,2.7369352684573512e-08
156,4843.718650420419,2.4292094580694472e-08
157,4851.805462341093,2.4211183716734398e-08
158,4861.131384798422,2.411837608939632e-08
159,4869.844104747938,2.403215210666675e-08
160,4878.264579646699,2.3949258905811056e-08
161,4886.363607766801,2.3869934078527568e-08
162,4894.081234269235,2.3794710976756813e-08
163,4901.316191274986,2.37245148727143e-08
164,4908.012589722958,2.365982048862624e-08
165,4914.086212614525,2.360137136227837e-08
166,4919.485972678646,2.3549588797389888e-08
167,4924.15961975132,2.3504906965899523e-08
168,4928.044749936453,2.3467860375907664e-08
169,4931.139375796936,2.343841425656468e-08
170,4933.3744846051,2.3417181107113102e-08
171,4934.7485310187585,2.340414222017353e-08
172,4935.2256780567395,2.3399616924662707e-08
173,4934.82976502939,2.340337169848173e-08
174,4933.558948135257,2.341543002430067e-08
175,4931.427754857085,2.3435673082778668e-08
176,4928.451136580801,2.3463990343897452e-08
177,4924.673744700368,2.3499999502409607e-08
178,4920.137830686015,2.3543349146531684e-08
179,4914.871420795816,2.3593830774561696e-08
180,4908.924854264372,2.3651027520567404e-08
181,4902.382882229064,2.3714191740957692e-08
182,4895.300410569092,2.3782860290268487e-08
183,4887.746609267538,2.385642786110213e-08
184,4879.788808217622,2.393429987992814e-08
185,4871.517862546067,2.4015640993276295e-08
186,4863.027080726474,2.4099576195779564e-08
187,4854.393856140752,2.4185371484698084e-08
188,4845.731417669814,2.427191839940024e-08
189,4837.084571850451,2.4358773661642148e-08
190,4828.582113188851,2.4444633985301104e-08
191,4820.300461833283,2.4528701708168663e-08
192,4812.320913638351,2.461011366471772e-08
193,4804.735869345802,2.468787700095787e-08
194,4797.625590440351,2.4761108129480124e-08
195,4791.077249879087,2.4828840277308987e-08
196,4785.146107730746,2.489042863574625e-08
197,4779.911847703705,2.494497119353512e-08
198,4775.441643050778,2.499169412534946e-08
199,4771.775045881254,2.503011575239246e-08
