target.A1ModJulian,target.EarthMJ2000Eq.X,target.EarthMJ2000Eq.Y,target.EarthMJ2000Eq.Z,target.EarthMJ2000Eq.VX,target.EarthMJ2000Eq.VY,target.EarthMJ2000Eq.VZ
21545.24592,-9073.889402,-190.8760577,-138.3031161,0.169349622,-5.978500663,-2.786792464
21545.24756,-9001.751813,-1032.934696,-530.5522308,0.851051361,-5.932341724,-2.761527313
21545.24919,-8833.857219,-1863.985875,-917.1397324,1.523906565,-5.823048133,-2.70682427
21545.25083,-8572.000063,-2675.060952,-1293.88687,2.180835874,-5.651728153,-2.623240268
21545.25246,-8218.998173,-3457.421204,-1656.727979,2.814926655,-5.420132953,-2.511632063
21545.25409,-7778.667568,-4202.632479,-2001.745289,3.419484809,-5.130644761,-2.373150398
21545.25573,-7255.784131,-4902.661948,-2325.213962,3.988105655,-4.786257871,-2.209230713
21545.25736,-6656.015909,-5549.987813,-2623.652998,4.514756922,-4.390541535,-2.021575326
21545.25899,-5985.875587,-6137.659917,-2893.853354,4.993823697,-3.947617044,-1.812142437
21545.26062,-5252.620458,-6659.401569,-3132.924968,5.420188921,-3.462100758,-1.583119026
21545.26224,-4464.203384,-7109.649073,-3338.315012,5.789265303,-2.93908105,-1.336909844
21545.26387,-3629.150699,-7483.636193,-3507.846679,6.097066105,-2.384046754,-1.076103548
21545.26549,-2756.490083,-7777.429244,-3639.7352,6.340237775,-1.802848156,-0.803454216
21545.26711,-1855.630389,-7987.976959,-3732.610465,6.516106757,-1.201625151,-0.521847461
21545.26873,-936.2683541,-8113.135753,-3785.528317,6.622707973,-0.586751963,-0.234274369
21545.27035,-8.262080794,-8151.691672,-3797.980073,6.658812231,0.03524195,0.056205676
21545.27196,918.453128,-8103.365484,-3769.89442,6.623940806,0.657724555,0.346489764
21545.27357,1834.012404,-7968.808834,-3701.634751,6.518373723,1.274058549,0.63347703
21545.27518,2728.667406,-7749.596562,-3593.995293,6.343154628,1.877632646,0.914083393
21545.27679,3592.927852,-7448.206101,-3448.190625,6.100085329,2.461959157,1.185287179
21545.27839,4417.687303,-7067.970948,-3265.833175,5.791698212,3.020763374,1.444170783
21545.27999,5194.27298,-6613.051317,-3048.91917,5.42124114,3.548023557,1.687939338
21545.28159,5914.55788,-6088.37508,-2799.800344,4.992636611,4.038054676,1.913959657
21545.28319,6571.017764,-5499.597818,-2521.164872,4.51045439,4.485556125,2.11978243
21545.28478,7156.832175,-4853.021604,-2215.998776,3.979848112,4.885690317,2.303178598
21545.28638,7665.940709,-4155.528591,-1887.554501,3.406501441,5.234131358,2.462161816
21545.28797,8093.088957,-3414.524508,-1539.324164,2.796579925,5.5271066,2.595007619
21545.28956,8433.897512,-2637.831781,-1174.989156,2.156639023,5.761453533,2.70027945
21545.29115,8684.886583,-1833.627174,-798.390776,1.493566487,5.934645386,2.776840298
21545.29274,8843.509102,-1010.360022,-413.4917651,0.814506901,6.044821185,2.823866277
21545.29433,8908.175972,-176.6490623,-24.32789145,0.126766992,6.090808823,2.840856819
21545.29592,8878.264376,658.7747163,365.0188902,-0.562242184,6.072134517,2.827638726
21545.29751,8754.126183,1487.178355,750.4720571,-1.24510749,5.989030346,2.784369028
21545.2991,8537.078928,2299.913277,1128.000866,-1.914496279,5.842427656,2.711531359
21545.30069,8229.395551,3088.483492,1493.652229,-2.56322356,5.633947449,2.609931006
21545.30228,7834.276604,3844.649593,1843.599157,-3.184347704,5.365876863,2.480683272
21545.30387,7355.825307,4560.493197,2174.170773,-3.771232156,5.041145743,2.325202089
21545.30546,6799.006267,5228.504184,2481.892844,-4.317624112,4.663290625,2.14518263
21545.30705,6169.591474,5841.661908,2763.5254,-4.817726044,4.236408946,1.942579394
