MWPT.A1ModJulian,MWPT.EarthMJ2000Eq.X,MWPT.EarthMJ2000Eq.Y,MWPT.EarthMJ2000Eq.Z,MWPT.EarthMJ2000Eq.VX,MWPT.EarthMJ2000Eq.VY,MWPT.EarthMJ2000Eq.VZ
21545.34497,2957.93825,7799.114749,3668.345186,-6.265652983,1.923188426,0.819653654
21545.34661,2052.758836,8030.563772,3765.121564,-6.453775809,1.32880335,0.540093935
21545.34825,1126.955533,8176.146702,3821.592308,-6.573312248,0.719418265,0.25437461
21545.3499,190.4714612,8234.425513,3837.208374,-6.622894114,0.101506325,-0.0344633
21545.35153,-746.6703545,8204.907636,3811.863399,-6.601898601,-0.518355117,-0.323339208
21545.35317,-1674.450706,8088.047215,3745.893267,-6.51045995,-1.133537582,-0.60915796
21545.35481,-2583.015374,7885.229585,3640.066874,-6.349468158,-1.737467972,-0.888859615
21545.35644,-3462.723159,7598.755606,3495.57821,-6.120567077,-2.32366231,-1.159435264
21545.35807,-4304.288959,7231.803386,3314.026707,-5.82613397,-2.885824642,-1.41797302
21545.35969,-5098.844853,6788.400655,3097.403545,-5.469266339,-3.417893397,-1.661679594
21545.36132,-5838.054464,6273.370476,2848.064862,-5.05374591,-3.914125016,-1.887918959
21545.36294,-6514.208388,5692.262071,2568.698228,-4.583988584,-4.369166573,-2.094245702
21545.36456,-7120.270409,5051.307452,2262.301763,-4.065013035,-4.778096411,-2.278423682
21545.36618,-7649.960365,4357.344785,1932.147266,-3.502380114,-5.136490009,-2.438456081
21545.3678,-8097.817804,3617.736091,1581.740941,-2.902125131,-5.440473222,-2.572609462
21545.36941,-8459.237604,2840.312648,1214.797373,-2.270710179,-5.686756243,-2.67942908
21545.37103,-8730.531299,2033.259666,835.1848627,-1.61492488,-5.872684292,-2.757761315
21545.37264,-8908.943483,1205.061945,446.8997596,-0.941834602,-5.996256626,-2.806761934
21545.37425,-8992.683223,364.3976951,54.0164245,-0.258684912,-6.056154254,-2.825907819
21545.37587,-8980.934479,-479.9333002,-339.346525,0.427167295,-6.051751457,-2.81500148
21545.37748,-8873.862843,-1319.109449,-729.0729465,1.108346078,-5.983122873,-2.774173177
21545.37909,-8672.613216,-2144.358943,-1111.082652,1.777526036,-5.851042139,-2.703879378
21545.38071,-8379.297503,-2947.059417,-1481.377843,2.427524325,-5.656971768,-2.604896824
21545.38232,-7996.971515,-3718.822943,-1836.082556,3.051379841,-5.403043632,-2.478312362
21545.38393,-7529.609677,-4451.569581,-2171.476756,3.642421804,-5.092036081,-2.325511336
21545.38555,-6982.063365,-5137.617241,-2484.037795,4.194349741,-4.727338588,-2.148159991
21545.38717,-6360.009418,-5769.761429,-2770.477028,4.701303129,-4.312908604,-1.948184369
21545.38879,-5669.906929,-6341.335093,-3027.767248,5.157912719,-3.853233151,-1.727751645
21545.39041,-4918.937074,-6846.281519,-3253.175976,5.559359966,-3.353278756,-1.489245911
21545.39203,-4114.913797,-7279.231421,-3444.300295,5.90143716,-2.818422114,-1.235234947
21545.39365,-3266.242896,-7635.539272,-3599.083331,6.180572767,-2.254413507,-0.968452732
21545.39528,-2381.794827,-7911.358291,-3715.847572,6.393885091,-1.667283812,-0.691755252
21545.39691,-1470.850129,-8103.666823,-3793.306502,6.539195568,-1.063301152,-0.408100004
21545.39854,-542.9894239,-8210.311492,-3830.583278,6.615053604,-0.448892327,-0.120508915
21545.40017,391.9942572,-8230.032799,-3827.221522,6.620746443,0.169419054,0.167960758
21545.40181,1324.206619,-8162.485255,-3783.193227,6.556303764,0.785088016,0.454251778
21545.40345,2243.734314,-8008.249356,-3698.903228,6.422495892,1.39160248,0.735332321
21545.40509,3140.786954,-7768.828194,-3575.185699,6.220819305,1.982574988,1.008238663
21545.40673,4005.790903,-7446.632461,-3413.29586,5.953474123,2.551800656,1.270102004
